source,target,weight
and,where,4.299070358276367
more,you,1.107753753662109
this,any,2.237698078155518
with,which,1.081347703933716
should,that,1.406902670860291
this,your,2.037568807601929
with,there,1.950082540512085
one,was,1.191808104515076
same,and,0.969188213348389
use,that,1.267040491104126
and,data,2.561662673950195
what,can,1.573462963104248
that,most,2.635915756225586
but,one,1.086365580558777
and,why,2.890543460845947
make,and,0.880262911319733
with,their,1.503897309303284
you,say,1.464105248451233
like,for,1.967072367668152
work,and,0.641571521759033
you,more,1.618049740791321
which,have,1.299693465232849
make,that,0.942537605762482
because,they,1.107993841171265
who,for,1.467847108840942
had,with,0.991917610168457
and,work,2.854221582412720
program,and,0.790755927562714
were,not,0.959062457084656
time,that,1.036935567855835
and,information,2.597658157348633
see,that,1.281128883361816
and,still,2.363386869430542
have,their,1.681947469711304
what,with,1.654924988746643
your,are,1.381153345108032
image,and,0.475478559732437
way,and,1.013051033020020
they,all,1.530027985572815
have,would,1.932817339897156
you,find,1.148807525634766
not,just,1.253561615943909
how,that,1.278224825859070
does,and,1.092874288558960
who,was,1.576107501983643
and,right,2.386880397796631
there,have,1.025438189506531
here,and,0.731560647487640
what,not,1.629132032394409
know,about,1.473552942276001
one,not,1.220655679702759
those,and,1.049852132797241
your,not,1.785564661026001
but,don,0.976816475391388
years,and,0.535977363586426
data,and,0.968183279037476
have,there,2.180957317352295
other,for,0.857873320579529
for,don,2.314803123474121
that,make,3.277096509933472
they,don,1.733720779418945
some,you,1.106357812881470
with,would,1.728210687637329
about,but,1.187882661819458
which,not,1.630320429801941
are,your,1.351303100585938
and,say,2.318682432174683
just,for,1.527463316917419
for,like,1.925799131393433
all,not,1.518671154975891
and,did,3.067511081695557
after,and,0.660857081413269
through,and,0.487904071807861
not,will,1.225272059440613
way,that,1.084719896316528
note,that,0.472584456205368
have,had,1.637113451957703
one,can,1.178944945335388
more,for,1.342752695083618
don,this,1.294642329216003
that,such,2.359802484512329
are,which,0.870466470718384
you,how,1.341164231300354
point,that,0.756562292575836
you,then,0.973284840583801
could,that,0.855991423130035
some,this,1.138157963752747
have,your,1.877414703369141
because,that,1.072209835052490
any,other,1.413499236106873
