source,target,weight
are,politics,0.000049324084102
mike,pence,0.000000172499114
about,trump,0.000028622336686
carol,kuruvilla,0.000000598681936
huffingtonpost,how,0.000013631791262
entry,ukraine,0.000005806735317
for,people,0.000028589431167
for,time,0.000011093737157
from,news,0.000006623741683
huffpost,from,0.000005679889910
news,after,0.000012882039300
about,her,0.000003727334843
this,for,0.000031081995985
women,this,0.000004844385330
entry,accused,0.000015746194549
and,what,0.000006279793070
that,you,0.000007369168543
trump,former,0.000009215731552
have,and,0.000026858180718
school,shooting,0.000002364890861
www,democrats,0.000005175737442
huffpost,best,0.000000861175181
entry,state,0.000033795437048
entertainment,for,0.000041679075366
https,michael,0.000017930742615
huffpost,how,0.000003355157787
will,politics,0.000018336559151
www,house,0.000020788733309
https,california,0.000022687507226
ryan,reilly,0.000000620947446
entry,netflix,0.000003951883173
www,jimmy,0.000004387753052
huffpost,what,0.000002463974397
trump,not,0.000022459584216
www,tax,0.000012289705410
bernie,sanders,0.000000445051626
entry,mueller,0.000008575212632
michael,cohen,0.000000465376615
huffingtonpost,gay,0.000011749949408
huffingtonpost,tax,0.000010165636013
entertainment,she,0.000008631029232
that,for,0.000028553968150
entertainment,actor,0.000002359509608
trump,election,0.000005133559171
www,gop,0.000012234580936
first,time,0.000002024312835
www,police,0.000019033002900
and,her,0.000009615493582
www,florida,0.000007346988241
new,news,0.000011713064850
climate,politics,0.000032457606721
you,know,0.000001234015940
that,are,0.000006367044989
from,for,0.000020516430595
and,how,0.000008551101018
www,man,0.000020175653844
his,with,0.000007440554327
that,with,0.000011114620975
entertainment,you,0.000010756478332
news,have,0.000015899064238
igor,bobic,0.000000398241411
https,coronavirus,0.000009367498023
about,entertainment,0.000009748137927
https,stephen,0.000011881864339
www,colbert,0.000005275890544
politics,republican,0.000002348675480
president,his,0.000006558999303
for,said,0.000027175341529
attorney,general,0.000000255717993
voices,for,0.000035360386391
www,james,0.000006400281109
and,more,0.000012367807358
and,one,0.000010189494787
arthur,delaney,0.000000035934278
entry,senate,0.000010503361409
https,jimmy,0.000007691653991
star,wars,0.000000157388953
voices,and,0.000029491662644
colbert,trump,0.000010849864339
for,our,0.000016993344616
www,gay,0.000014205059415
www,this,0.000036538967834
huffingtonpost,first,0.000015032767806
huffingtonpost,are,0.000028565180401
for,voices,0.000043900803576
news,people,0.000018148391973
entry,election,0.000011911201000
between,and,0.000004910200005
said,that,0.000009462713933
entry,paul,0.000012311867977
entry,steve,0.000008331659956
entry,climate,0.000018093924155
https,and,0.000226429125178
said,and,0.000025567294870
entry,his,0.000043043004553
says,she,0.000008518682080
entry,adam,0.000004824883035
entry,texas,0.000013846691218
was,his,0.000004633307526
entry,olympic,0.000004756143426
news,host,0.000002783219770
https,colbert,0.000009248544302
and,just,0.000021685922547
entry,lgbtq,0.000008307063581
world,was,0.000005614589099
trump,was,0.000023598586267
new,politics,0.000034135522583
for,not,0.000021415817173
politics,senator,0.000002522160230
entry,kim,0.000007149260910
that,trump,0.000026236752092
john,oliver,0.000000228700785
tax,politics,0.000011748791621
news,trump,0.000055230764701
scott,pruitt,0.000000085452797
doha,madani,0.000000093883251
huffingtonpost,michael,0.000008460842764
adam,rippon,0.000000033806746
huffingtonpost,gop,0.000010120036677
gop,tax,0.000001400797260
entry,russian,0.000007000510323
entry,day,0.000011420575902
huffpost,ukraine,0.000000794600282
said,nick,0.000001108815582
over,news,0.000006810060313
york,times,0.000001314707333
who,and,0.000023953292839
huffpost,and,0.000026297091608
and,all,0.000004156516752
www,joe,0.000004610898031
after,entertainment,0.000009863154446
entry,tweets,0.000006393434887
from,week,0.000000689898002
his,was,0.000004542461738
for,year,0.000019353677999
www,facebook,0.000010114685210
politics,about,0.000012271296328
state,politics,0.000016668338503
entry,more,0.000035462304368
https,best,0.000007415083019
politics,white,0.000013658209355
that,politics,0.000026866058761
fox,host,0.000000890092394
www,fox,0.000005488322131
politics,first,0.000007550772352
are,that,0.000016182097170
entry,just,0.000062180195528
may,have,0.000003811155921
https,first,0.000031858369766
for,years,0.000008568683370
https,james,0.000011219581211
www,republicans,0.000007169918717
and,david,0.000008951185919
politics,she,0.000013324850443
home,living,0.000000414642471
www,star,0.000010856159861
