source,target,weight
https,california,0.552606642246246
ryan,reilly,0.702935099601746
entry,netflix,0.483911335468292
www,jimmy,0.406481772661209
huffpost,what,0.503564417362213
trump,not,0.330849647521973
www,tax,0.434306591749191
bernie,sanders,5.134720802307129
entry,mueller,0.537296533584595
michael,cohen,1.230115056037903
huffingtonpost,gay,0.285036563873291
huffingtonpost,tax,0.280506402254105
entertainment,she,0.412266463041306
that,for,0.263769686222076
entertainment,actor,0.888126611709595
trump,election,0.369629353284836
www,gop,0.273790597915649
first,time,0.965882539749146
www,police,0.479400843381882
and,her,0.314898490905762
www,florida,0.449211299419403
new,news,0.294647485017776
climate,politics,0.355482816696167
you,know,0.663737237453461
that,are,0.446167230606079
from,for,0.228710502386093
and,how,0.717216432094574
www,man,0.405871033668518
his,with,0.671285152435303
that,with,0.377953231334686
entertainment,you,0.507988154888153
news,have,0.422556221485138
igor,bobic,1.409416317939758
https,coronavirus,0.584585726261139
about,entertainment,0.436754584312439
https,stephen,0.467454105615616
www,colbert,0.375687956809998
politics,republican,0.723919510841370
president,his,1.152180552482605
for,said,0.441853374242783
attorney,general,1.283933520317078
voices,for,0.277272045612335
www,james,0.211442530155182
and,more,0.484337180852890
and,one,0.444658756256104
arthur,delaney,1.804924964904785
entry,senate,0.374191761016846
https,jimmy,0.483561664819717
star,wars,0.950663387775421
voices,and,0.202443033456802
colbert,trump,0.579434692859650
for,our,0.696288585662842
www,gay,0.441320508718491
www,this,0.151412114500999
huffingtonpost,first,0.226994127035141
huffingtonpost,are,0.196854457259178
for,voices,0.264253288507462
news,people,1.156743168830872
entry,election,0.387410551309586
between,and,0.317603617906570
said,that,0.478490859270096
entry,paul,0.398808628320694
entry,steve,0.560907959938049
entry,climate,0.469074755907059
https,and,0.156506925821304
said,and,0.254807263612747
entry,his,0.372459918260574
says,she,0.329231500625610
entry,adam,0.517041087150574
entry,texas,0.475613862276077
was,his,0.635272264480591
entry,olympic,0.347364276647568
news,host,0.637498140335083
https,colbert,0.446928501129150
and,just,0.365914762020111
entry,lgbtq,0.464103549718857
world,was,0.272493720054626
trump,was,0.243961900472641
new,politics,0.196156501770020
for,not,0.500242888927460
politics,senator,0.652883350849152
entry,kim,0.343318134546280
that,trump,0.299786508083344
john,oliver,2.121180057525635
tax,politics,0.491246551275253
news,trump,0.341835051774979
scott,pruitt,2.316689491271973
doha,madani,1.590294480323792
huffingtonpost,michael,0.157197341322899
adam,rippon,2.691462755203247
huffingtonpost,gop,0.176833659410477
gop,tax,2.263899087905884
entry,russian,0.252966761589050
entry,day,0.391212046146393
huffpost,ukraine,1.050628423690796
said,nick,0.952130913734436
over,news,0.448683589696884
york,times,1.454103350639343
who,and,0.162706732749939
huffpost,and,0.266993463039398
and,all,0.419187307357788
www,joe,0.581209123134613
after,entertainment,0.645834028720856
entry,tweets,0.283822357654572
from,week,0.601925611495972
his,was,0.664522349834442
for,year,0.673278748989105
www,facebook,0.833906233310699
politics,about,0.501884937286377
state,politics,0.291356861591339
entry,more,0.349775403738022
https,best,0.508741319179535
politics,white,0.395833730697632
that,politics,0.193510040640831
fox,host,1.138298749923706
www,fox,0.325379282236099
politics,first,0.502754986286163
are,that,0.291873395442963
entry,just,0.264253914356232
may,have,0.764496147632599
https,first,0.418098807334900
for,years,0.721465647220612
https,james,0.251537740230560
www,republicans,0.441266983747482
and,david,0.582119703292847
politics,she,0.282390981912613
home,living,1.599976062774658
www,star,0.199872955679893
https,house,0.453275382518768
entry,back,0.321503609418869
with,trump,0.198377877473831
says,trump,0.341548204421997
trump,has,0.294870227575302
todd,van,1.320439338684082
van,luling,2.579967975616455
todd,luling,2.218036890029907
donald,politics,0.224586650729179
what,about,0.680527150630951
www,north,0.242063626646996
amy,russo,1.828626871109009
for,black,0.428481638431549
antonia,blumberg,1.994112372398376
huffingtonpost,women,0.232722729444504
gay,queer,0.784568309783936
politics,more,0.500140845775604
entry,fire,0.358823120594025
said,was,0.495029211044312
biden,trump,0.879037201404572
huffpost,dead,0.743172585964203
entry,york,0.683794617652893
out,politics,0.385118514299393
new,times,0.571957170963287
been,for,0.485021531581879
chris,angelo,2.146280765533447
entry,funniest,0.666675984859467
funniest,women,1.621901035308838
caroline,bologna,4.848582744598389
you,that,0.531138122081757
its,and,0.355767279863358
for,that,0.356545627117157
they,and,0.238431721925735
politics,you,0.347957640886307
entry,former,0.379834413528442
news,president,0.443788051605225
and,world,0.377262502908707
but,not,0.626264870166779
and,not,0.480168968439102
but,that,0.446367233991623
entry,congress,0.479235112667084
www,with,0.258189886808395
for,was,0.368869155645370
entry,watch,0.815966248512268
show,host,1.418208003044128
she,her,0.492361694574356
https,black,0.353193342685699
https,white,0.329181432723999
www,women,0.360323339700699
house,for,0.536279380321503
and,your,0.511635005474091
after,and,0.352636396884918
new,with,0.383122205734253
this,said,0.532134175300598
you,and,0.282843142747879
www,mike,0.247660920023918
trump,twitter,0.446666568517685
women,for,0.446659296751022
and,lee,0.401880592107773
trump,after,0.340441346168518
entry,politics,0.132248252630234
kamala,harris,5.191679954528809
trump,will,0.347019761800766
trump,over,0.369674265384674
black,and,0.285960763692856
trump,from,0.431334942579269
harvey,weinstein,2.981801748275757
entry,korea,0.273663729429245
robert,mueller,2.574849843978882
voices,was,0.393298089504242
huffingtonpost,man,0.262140691280365
sexual,misconduct,1.643602609634399
huffingtonpost,news,0.128248155117035
latino,voices,0.458850085735321
huffingtonpost,james,0.136564791202545
roy,moore,1.731378793716431
tax,bill,1.088884949684143
huffpost,with,0.523982942104340
www,national,0.326507717370987
she,for,0.390286386013031
entry,war,0.434430927038193
https,russia,0.387919902801514
www,ukraine,0.517691850662231
www,putin,0.423979669809341
politics,been,0.639928400516510
entry,video,0.509359419345856
entry,shows,0.433100968599319
from,world,0.345668494701385
www,after,0.356666326522827
www,shooting,0.364330410957336
news,who,0.336155444383621
covid,politics,0.477585762739182
and,mary,0.547465085983276
after,trump,0.548930823802948
entry,obama,0.811764717102051
can,and,0.342958956956863
what,for,0.349506735801697
school,politics,0.248550727963448
entry,show,0.331066876649857
entry,free,0.507243454456329
election,politics,0.428436458110809
new,jersey,0.930268466472626
huffpost,death,0.825257778167725
his,for,0.468483030796051
best,for,0.506226897239685
sexual,assault,1.488382816314697
sebastian,murdock,1.612549543380737
sean,hannity,2.672356605529785
huffpost,president,0.539572775363922
los,angeles,2.777412891387939
entertainment,this,0.316210389137268
news,this,0.252734243869781
sanjana,karanth,2.274812459945679
www,year,0.466513693332672
entry,top,0.418551057577133
late,show,0.728289902210236
trump,about,0.334885418415070
alexander,kaufman,2.177700519561768
entry,time,0.473231643438339
www,david,0.420212060213089
politics,her,0.325173348188400
news,from,0.754289090633392
www,school,0.383102625608444
black,for,0.391660422086716
your,you,0.541471898555756
entry,melania,0.660705864429474
https,mike,0.294624149799347
elizabeth,warren,2.670316457748413
jimmy,fallon,1.703443765640259
entry,here,0.417372018098831
could,politics,0.346429944038391
sarah,ruiz,2.283168077468872
ruiz,grossman,2.085150957107544
sarah,grossman,2.139480590820312
entry,could,0.212429910898209
